mean_bpm,std_bpm,median_bpm,pnn50,mean_ecg_plf,std_ecg_plf,mean_ecg_phf,std_ecg_phf,mean_ecg_plf_phf,std_ecg_plf_phf,mean_eda_scl,std_eda_scl,slope_eda_scl,mean_amplitude_eda_scr,std_amplitude_eda_scr,mean_rise_time_eda_scr,std_rise_time_eda_scr,average_peaks_nummber_eda_scr,initial_temperature,final_temperature,delta_temperature,mean_temperature,std_temperature,delta_over_time_temperature,interpolated_slope_temperature,initial_first_derivative_temperature,final_first_derivative_temperature,delta_derivative_temperature,mean_first_derivative_temperature,std_first_derivative_temperature,delta_first_derivative_over_time_temperature,inerpolated_slope_first_derivative_temperature,mean_breath_rate_respiration,std_breath_rate_respiration,mean_inspiratory_time_respiration,std_inspiratory_time_respiration,mean_expiratory_time_respiration,std_expiratory_time_respiration,mean_timing_ratio_respiration,std_timing_ratio_respiration,mean_amplitude_respiration,std_amplitude_respiration,mean_minute_ventilation,std_minute_ventilation,mean_plf_respiration,std_plf_respiration,mean_phf_respiration,std_phf_respiration,mean_plf_phf_ratio_respiration,std_plf_phf_ratio_respiration,min_fnirs_oxy,max_fnirs_oxy,mean_fnirs_oxy,variance_fnirs_oxy,std_fnirs_oxy,skewness_fnirs_oxy,kurtosis_fnirs_oxy,power_band_fnirs_oxy,max_frequency_fnirs_oxy,median_frequency_fnirs_oxy,spectral_entropy_fnirs_oxy,mean_difference_fnirs_oxy,peak_to_peak_fnirs_oxy,slope_fnirs_oxy,zero_crossing_fnirs_oxy,polarity_fnirs_oxy,entropy_fnirs_oxy,auc_fnirs_oxy,te_fnirs_oxy,min_fnirs_deoxy,max_fnirs_deoxy,mean_fnirs_deoxy,variance_fnirs_deoxy,std_fnirs_deoxy,skewness_fnirs_deoxy,kurtosis_fnirs_deoxy,power_band_fnirs_deoxy,max_frequency_fnirs_deoxy,median_frequency_fnirs_deoxy,spectral_entropy_fnirs_deoxy,mean_difference_fnirs_deoxy,peak_to_peak_fnirs_deoxy,slope_fnirs_deoxy,zero_crossing_fnirs_deoxy,polarity_fnirs_deoxy,entropy_fnirs_deoxy,auc_fnirs_deoxy,te_fnirs_deoxy,test_phase
80.80232911,5.853387022,80.37511978,0.01244093,0.434155528,0.06851627,0.26765449,0.049780601,1.718523189,0.544578717,8.656014731,0.202447327,-2.29E-05,0.111683467,0.127432294,1.753684211,1.056665896,102.7814092,20.49503408,20.49132308,-0.003711003,20.49287924,0.052363614,-1.67E-05,0.000315761,0.009036679,-0.001216531,-0.01025321,-1.67E-05,0.008601491,-4.62E-05,7.30E-08,15.20557599,6.46073161,2.331777778,1.709536472,2.336444444,1.169114186,1.167834255,0.867191779,12.35942429,6.669826043,172.5448319,99.83174501,0.095411064,0.006130556,0.081513623,0.002633248,1.173861019,0.111010565,-0.0041564,0.0043626,0.0024633,2.12E-06,0.0014568,-0.24952,3.1856,0.15137,0.039062,0.085624,0.39896,5.31E-07,0.003789,5.22E-05,0.01352,1.0496,3.76,0.0035306,0.00019424,-0.00050431,0.00042896,-0.00016595,3.10E-08,0.00017608,-0.24083,2.9928,0.15137,0.043945,0.085624,0.43239,4.01E-08,0.00055202,-2.40E-06,0.014421,0.85059,4.2051,0.00023741,8.68E-07,baseline
75.89927265,4.238340344,76.72634271,0,0.31109975,0.070197298,0.312938862,0.017071101,0.993615644,0.225808181,11.7712057,0.085906076,3.62E-05,0.057718199,0.048098282,2.14375,1.534618962,64,19.60118298,19.68118647,0.080003494,19.64363644,0.01863298,0.001066713,0.000236592,0.005724729,-5.76E-05,-0.005782355,0.001066713,0.003668811,-7.71E-05,-5.23E-06,17.99938447,0.921763046,1.400952381,0.081602988,1.944761905,0.150253754,0.723893281,0.063446894,13.68743415,1.584087817,249.4852249,26.2380579,0.151891306,0.003315936,0.144096541,0.00443869,1.05437476,0.009698757,-0.0025353,0.0026947,-6.69E-05,1.37E-06,0.0011709,-0.19753,2.6829,0.15137,0.029297,0.23968,0.36328,6.26E-06,0.00033735,3.29E-05,0.0066578,1.0629,3.1923,0.00063788,7.61E-06,-0.0011776,0.00047344,-4.31E-05,2.15E-07,0.00046384,-1.2134,3.0244,0.073242,0.03418,0.15979,0.28697,1.88E-06,8.60E-05,-2.96E-07,0.0013316,0.40203,3.2514,0.00010668,1.82E-07,trial1
78.06800445,3.170364194,78.58549539,0,0.306154516,0.032973946,0.39704226,0.018166352,0.773750852,0.097488359,12.45290686,0.233077512,-7.85E-05,0.06175164,0.138975486,1.414545455,0.893995119,88,19.98513999,20.07492757,0.08978758,20.0288126,0.02291788,0.001197168,0.001035858,-9.56E-05,0.001703604,0.001799182,0.001197168,0.003116633,2.40E-05,2.61E-06,17.07036322,2.690406343,1.4995,0.447089712,2.103,0.335952691,0.714407624,0.179065505,13.85146879,1.526861569,233.8993008,36.20751392,0.127400142,0.001350182,0.122307974,0.003674444,1.042814717,0.0415561,-0.0022191,0.0031133,0.0007138,1.58E-06,0.0012562,0.52605,2.7613,0.12695,0.03418,0.10652,0.30167,3.69E-06,0.0012274,5.13E-05,0.014647,1.403,3.0493,0.0010907,2.49E-05,-0.00031808,0.00045402,-0.00032183,4.18E-08,0.00020436,0.61111,2.2111,0.13184,0.03418,0.10652,0.24944,6.19E-07,6.28E-05,3.41E-06,0.0039947,1.4274,3.0045,0.0003219,1.17E-06,trial2
77.31478483,3.981380334,77.66993545,0.012969271,0.233395919,0.051386238,0.336443238,0.016529623,0.694359037,0.152353356,11.58943278,0.106290949,-4.83E-05,0.023924764,0.009061453,2.2975,1.182017041,64,20.15050381,20.13476159,-0.015742218,20.14150077,0.018825471,-0.000209896,-0.000517668,-0.000180133,0.001884406,0.002064539,-0.000209896,0.004332507,2.75E-05,2.41E-06,15.48527188,2.549153653,1.557222222,0.449925557,2.421666667,0.50796306,0.657822318,0.189320958,12.7740872,1.902241531,201.6361039,51.47830338,0.117225776,0.00479609,0.137332875,0.003096777,0.854728739,0.053947444,-0.0036215,0.0021772,0.0022829,2.33E-06,0.001528,-0.87113,2.8638,0.13672,0.039062,0.11984,0.22808,4.36E-06,0.0015515,5.44E-05,0.0039947,0.60119,3.4016,0.0026362,8.20E-05,-0.00045472,0.00021219,-0.00053247,3.63E-08,0.00019047,-0.91744,2.6812,0.1416,0.039062,0.13316,0.24706,6.69E-07,0.0001393,4.51E-06,0.0013316,0.46664,3.1687,0.00053227,3.10E-06,trial3
79.1243794,3.688363301,79.57573679,0.031673895,0.296262633,0.068478519,0.362513345,0.039930378,0.807814304,0.100069255,11.25877395,0.08361345,-3.55E-05,0.020006009,0.012684513,1.751,0.823494586,80,20.12958061,20.17303323,0.043452619,20.1604045,0.030908906,0.000579368,0.001209975,-0.000839617,-0.002239843,-0.001400226,0.000579368,0.004577601,-1.87E-05,-1.94E-05,15.52300987,1.770649387,1.378421053,0.233458613,2.541578947,0.459979023,0.560175352,0.146527244,11.38954376,2.081949918,177.2159003,35.46121681,0.102746064,0.001569362,0.150779756,0.004555535,0.682088895,0.025408619,-0.0028897,0.0019144,0.001674,1.04E-06,0.0010212,-0.86051,4.1377,0.12207,0.043945,0.079893,0.34575,2.11E-06,0.0013078,2.54E-05,0.0093209,0.66248,3.2216,0.0018029,3.63E-05,-0.00033578,0.00024257,-0.0005005,1.57E-08,0.0001253,-0.37079,3.2226,0.12207,0.043945,0.079893,0.3531,3.11E-07,0.00018106,4.72E-06,0.011984,0.72242,3.1385,0.00050048,2.69E-06,trial4
79.21116175,3.705836624,80,0.018980412,0.348198505,0.025732428,0.354371912,0.048969469,1.005859038,0.178678533,10.80163093,0.10165706,-4.00E-05,0.069230106,0.123785923,1.86,1.167411667,40,20.18742675,20.20056724,0.013140493,20.19231719,0.014006876,0.000175207,0.000525758,-0.000624025,-0.000395546,0.00022848,0.000175207,0.003222952,3.05E-06,3.58E-06,16.13893206,2.108687485,1.498333333,0.516575261,2.411666667,0.473711876,0.621225641,0.124439156,12.75027115,1.827386314,202.9721298,24.53582013,0.118015434,0.005571174,0.166066379,0.002986927,0.710307572,0.021118023,-0.0036262,0.0021236,0.0022103,1.99E-06,0.0014112,-0.66172,2.7322,0.12695,0.039062,0.053262,0.26074,8.02E-08,0.0012876,4.89E-05,0.010652,0.58563,3.1362,0.0023951,6.96E-05,-0.00027667,0.00017014,-0.00048216,1.11E-08,0.00010559,-0.50156,2.6016,0.13184,0.043945,0.10652,0.36179,2.35E-07,0.00025031,1.52E-06,0.013316,0.61496,3.5288,0.00048189,2.43E-06,trial5
