mean_bpm,std_bpm,median_bpm,pnn50,mean_ecg_plf,std_ecg_plf,mean_ecg_phf,std_ecg_phf,mean_ecg_plf_phf,std_ecg_plf_phf,mean_eda_scl,std_eda_scl,slope_eda_scl,mean_amplitude_eda_scr,std_amplitude_eda_scr,mean_rise_time_eda_scr,std_rise_time_eda_scr,average_peaks_nummber_eda_scr,initial_temperature,final_temperature,delta_temperature,mean_temperature,std_temperature,delta_over_time_temperature,interpolated_slope_temperature,initial_first_derivative_temperature,final_first_derivative_temperature,delta_derivative_temperature,mean_first_derivative_temperature,std_first_derivative_temperature,delta_first_derivative_over_time_temperature,inerpolated_slope_first_derivative_temperature,mean_breath_rate_respiration,std_breath_rate_respiration,mean_inspiratory_time_respiration,std_inspiratory_time_respiration,mean_expiratory_time_respiration,std_expiratory_time_respiration,mean_timing_ratio_respiration,std_timing_ratio_respiration,mean_amplitude_respiration,std_amplitude_respiration,mean_minute_ventilation,std_minute_ventilation,mean_plf_respiration,std_plf_respiration,mean_phf_respiration,std_phf_respiration,mean_plf_phf_ratio_respiration,std_plf_phf_ratio_respiration,min_fnirs_oxy,max_fnirs_oxy,mean_fnirs_oxy,variance_fnirs_oxy,std_fnirs_oxy,skewness_fnirs_oxy,kurtosis_fnirs_oxy,power_band_fnirs_oxy,max_frequency_fnirs_oxy,median_frequency_fnirs_oxy,spectral_entropy_fnirs_oxy,mean_difference_fnirs_oxy,peak_to_peak_fnirs_oxy,slope_fnirs_oxy,zero_crossing_fnirs_oxy,polarity_fnirs_oxy,entropy_fnirs_oxy,auc_fnirs_oxy,te_fnirs_oxy,min_fnirs_deoxy,max_fnirs_deoxy,mean_fnirs_deoxy,variance_fnirs_deoxy,std_fnirs_deoxy,skewness_fnirs_deoxy,kurtosis_fnirs_deoxy,power_band_fnirs_deoxy,max_frequency_fnirs_deoxy,median_frequency_fnirs_deoxy,spectral_entropy_fnirs_deoxy,mean_difference_fnirs_deoxy,peak_to_peak_fnirs_deoxy,slope_fnirs_deoxy,zero_crossing_fnirs_deoxy,polarity_fnirs_deoxy,entropy_fnirs_deoxy,auc_fnirs_deoxy,te_fnirs_deoxy,test_phase
88.37344589,4.839535618,88.10572687,0,0.300263125,0.071473244,0.240385067,0.038385717,1.267165539,0.344358984,11.20513828,0.721068685,-0.000325201,0.48399102,0.540814231,1.687,0.607619216,80,34.65197981,35.15354295,0.501563144,34.81204271,0.172290887,0.006687509,0.007369741,0.009650157,0.010978619,0.001328462,0.006687509,0.007883653,1.77E-05,0.000193536,18.75521618,3.0793335,1.93047619,0.778058328,1.457619048,0.413181616,1.378935352,0.598594383,4.516741387,1.434812061,85.83812162,31.47777043,0.130359405,0.002692435,0.141156646,0.002503979,0.924098195,0.035053253,-0.0016687,0.00022766,-0.00010227,1.58E-07,0.00039749,-1.4682,5.3687,0.1416,0.03418,0.13316,0.33683,-1.26E-06,0.00024998,-1.21E-05,0.010652,0.13643,2.5068,0.00027508,2.17E-06,-0.00027327,0.0001187,2.82E-05,1.54E-08,0.00012425,-0.29088,1.5735,0.14648,0.03418,0.27963,0.16808,5.23E-07,9.41E-05,3.41E-06,0.0013316,0.43437,3.1995,7.90E-05,8.04E-08,trial1
88.09633194,3.938821834,87.59124088,0,0.304897983,0.052072642,0.210390638,0.038720874,1.530808366,0.515087193,8.485523601,0.464091686,-0.000210829,0.167200059,0.106640386,1.79625,0.486061063,64,35.12964577,35.05312026,-0.076525508,34.96294727,0.075870664,-0.00102034,-0.00169763,-0.001713046,0.000578066,0.002291111,-0.00102034,0.008618472,3.05E-05,0.000274,19.29687331,2.811632864,1.734347826,0.538607853,1.448695652,0.15398655,1.22750805,0.480644301,5.501047574,1.250363031,108.2627193,32.0860617,0.130085772,0.002659941,0.152040822,0.009957724,0.860074224,0.071787607,-0.00046663,0.00092264,-0.00062038,8.68E-08,0.0002947,0.25385,2.6898,0.14648,0.03418,0.14647,0.21074,6.50E-07,0.00064649,-1.75E-05,0.0066578,1.9773,2.9404,0.00066327,6.12E-06,-0.00025922,0.00024911,0.00010705,2.04E-08,0.00014293,-0.28854,1.6863,0.1123,0.03418,0.039947,0.17539,-6.17E-08,0.00033038,5.03E-06,0.0026631,0.96098,2.9643,0.00017254,3.75E-07,trial2
88.79963544,5.704359326,87.59124088,0,0.310857247,0.079353373,0.198727805,0.021139392,1.59592058,0.464349991,8.343851863,0.78305545,0.000273471,0.671335217,0.719402061,2.316666667,2.10428729,72,35.14771485,35.08547308,-0.062241773,35.0699448,0.043948451,-0.00082989,-0.001272659,0.004253805,-0.008791233,-0.013045038,-0.00082989,0.00637352,-0.000173934,9.95E-05,19.74930872,2.461518221,1.557083333,0.323573514,1.518333333,0.293771083,1.035954387,0.191732776,6.096134972,1.442697953,118.7628673,28.79558264,0.140201441,0.011031019,0.191915339,0.006452543,0.729631647,0.035967267,-0.0013363,0.0010467,-0.00035198,2.44E-07,0.000494,-0.094661,2.9657,0.15137,0.039062,0.15979,0.2519,1.82E-06,0.00095863,7.08E-06,0.011984,0.78333,3.315,0.00048297,4.29E-06,-0.00021425,0.00017218,0.00017659,1.03E-08,0.00010135,-0.061806,1.9837,0.1416,0.043945,0.079893,0.34245,1.47E-07,0.00025002,3.91E-07,0.0066578,0.80364,3.4262,0.00017657,3.87E-07,trial3
90.25504542,5.625294808,91.04704097,0,0.295829116,0.04713164,0.215276904,0.052762329,1.466547819,0.469526441,8.812439395,0.598424775,0.000172967,1.121348003,1.109069035,2.72125,2.403440614,64,35.03253976,34.93494606,-0.097593699,34.8674662,0.065820935,-0.001301249,-0.001955863,-0.010702014,0.013813535,0.024515549,-0.001301249,0.009020876,0.000326874,0.00024806,18.98095021,2.261414347,1.636956522,0.446821449,1.539130435,0.292651096,1.086708282,0.35399134,6.510472453,1.607990577,124.230327,38.12585408,0.180968283,0.008176181,0.202769942,0.002806586,0.892127456,0.028635634,-0.001507,0.00095681,-0.00024347,2.51E-07,0.00050055,-1.0027,4.0104,0.15137,0.043945,0.10652,0.31846,-1.04E-06,0.001198,-7.37E-06,0.0066578,0.63491,3.12,0.00043675,3.48E-06,-0.00028778,0.00022259,-1.35E-05,1.75E-08,0.0001322,-0.29137,2.3442,0.15625,0.043945,0.079893,0.19047,1.04E-07,0.00029185,-3.30E-06,0.010652,0.77349,3.1036,9.86E-05,1.45E-07,trial4
83.79094846,3.564732481,83.68200837,0,0.296969952,0.029957561,0.35860308,0.011649113,0.830722519,0.103065534,9.155729908,1.205401242,-0.000554426,0.177480762,0.298261003,2.007777778,1.362376396,72,33.739783,34.66695362,0.927170611,34.16037364,0.264690752,0.012362275,0.012142023,0.014786412,0.014307751,-0.000478662,0.012362275,0.006973706,-6.38E-06,9.17E-05,19.84866185,2.415742849,1.580909091,0.554281251,1.596363636,0.566682455,1.004427279,0.23764588,8.082154407,1.70370957,166.4886948,40.91726842,0.175877443,0.004925951,0.175949309,0.002059253,1.000034197,0.039765335,-0.0030154,0.0022173,-0.00017311,2.52E-06,0.0015864,-0.19355,1.7017,0.078125,0.03418,0.013316,0.030323,1.17E-06,0,8.11E-06,0.0026631,0.73533,2.955,0.00043189,2.42E-06,-0.0010911,0.00094255,0.00015001,3.91E-07,0.00062551,0.10849,1.5777,0.063477,0.03418,0.026631,0.033693,7.46E-07,0.0016911,8.01E-06,0.0026631,0.86385,2.5218,0.0002698,8.34E-07,trial5
