mean_bpm,std_bpm,median_bpm,pnn50,mean_ecg_plf,std_ecg_plf,mean_ecg_phf,std_ecg_phf,mean_ecg_plf_phf,std_ecg_plf_phf,mean_eda_scl,std_eda_scl,slope_eda_scl,mean_amplitude_eda_scr,std_amplitude_eda_scr,mean_rise_time_eda_scr,std_rise_time_eda_scr,average_peaks_nummber_eda_scr,initial_temperature,final_temperature,delta_temperature,mean_temperature,std_temperature,delta_over_time_temperature,interpolated_slope_temperature,initial_first_derivative_temperature,final_first_derivative_temperature,delta_derivative_temperature,mean_first_derivative_temperature,std_first_derivative_temperature,delta_first_derivative_over_time_temperature,inerpolated_slope_first_derivative_temperature,mean_breath_rate_respiration,std_breath_rate_respiration,mean_inspiratory_time_respiration,std_inspiratory_time_respiration,mean_expiratory_time_respiration,std_expiratory_time_respiration,mean_timing_ratio_respiration,std_timing_ratio_respiration,mean_amplitude_respiration,std_amplitude_respiration,mean_minute_ventilation,std_minute_ventilation,mean_plf_respiration,std_plf_respiration,mean_phf_respiration,std_phf_respiration,mean_plf_phf_ratio_respiration,std_plf_phf_ratio_respiration,min_fnirs_oxy,max_fnirs_oxy,mean_fnirs_oxy,variance_fnirs_oxy,std_fnirs_oxy,skewness_fnirs_oxy,kurtosis_fnirs_oxy,power_band_fnirs_oxy,max_frequency_fnirs_oxy,median_frequency_fnirs_oxy,spectral_entropy_fnirs_oxy,mean_difference_fnirs_oxy,peak_to_peak_fnirs_oxy,slope_fnirs_oxy,zero_crossing_fnirs_oxy,polarity_fnirs_oxy,entropy_fnirs_oxy,auc_fnirs_oxy,te_fnirs_oxy,min_fnirs_deoxy,max_fnirs_deoxy,mean_fnirs_deoxy,variance_fnirs_deoxy,std_fnirs_deoxy,skewness_fnirs_deoxy,kurtosis_fnirs_deoxy,power_band_fnirs_deoxy,max_frequency_fnirs_deoxy,median_frequency_fnirs_deoxy,spectral_entropy_fnirs_deoxy,mean_difference_fnirs_deoxy,peak_to_peak_fnirs_deoxy,slope_fnirs_deoxy,zero_crossing_fnirs_deoxy,polarity_fnirs_deoxy,entropy_fnirs_deoxy,auc_fnirs_deoxy,te_fnirs_deoxy,test_phase
83.2578248200084,4.45293732894569,84.2696629213483,0.0120486798679868,0.282978105718158,0.038560909270207,0.358403446335906,0.0286403232652987,0.800570178290646,0.152137363477747,0.635068100775889,0.00767181368240908,2.44657548799233e-06,0.0116143142001677,0.00926904835252323,1.09727272727273,0.21166439989242,88,25.761660805485,25.7253832276125,-0.0362775778725073,25.7456243699893,0.0201599875635606,-0.000483701038300097,-0.000742246111664567,0.0144756087080841,0.0015827250194813,-0.0128928836886028,-0.000483701038300098,0.00604784960211835,-0.000171905115848037,-4.48508047439504e-06,16.2740273000403,3.22125122613088,2.04947368421053,0.441254193360124,1.87105263157895,0.961479731899638,1.17879942533557,0.237746127142798,8.7271532234031,1.1262593285068,140.143843613513,25.7187772366808,0.189009476387258,0.000647672416045081,0.155756186844992,0.000558839254573326,1.21352287471393,0.00823152399511558,-0.00070786,0.00059692,0.00031302,6.0541e-08,0.00024605,0.060985,3.5242,0.13672,0.043945,0.10652,0.34674,7.0914e-07,0.00045223,1.3677e-05,0.011984,0.84327,3.5796,0.00041915,2.3532e-06,-0.00013346,9.9114e-05,7.9278e-05,3.6709e-09,6.0588e-05,0.045736,2.244,0.11719,0.03418,0.039947,0.20338,3.6313e-08,0.00013494,-6.838e-08,0.0026631,0.74266,3.3969,8.1464e-05,1.0438e-07,trial1
82.6451047832245,5.40515968828613,82.9877106257939,0.0182286764705882,0.272958222327874,0.0391873890570989,0.415352504048875,0.0454554932924766,0.674236221830281,0.174154881383966,0.642179789413194,0.00674929804507419,2.02758575415201e-06,0.0114895637997125,0.00436925990056897,1.48666666666667,0.665957956630897,72,25.7393366293195,25.6219566583697,-0.117379970949806,25.6696733943478,0.0455675490400999,-0.00156506627933074,-0.00178912317762121,0.000206912375238407,-0.0195446476276735,-0.0197515600029119,-0.00156506627933074,0.0050686782136344,-0.000263354133372159,2.34099110587784e-05,13.3466211989898,3.80958616553617,3.01857142857143,1.53979447750895,2.04428571428571,0.246910581314036,1.4305612235386,0.611542423085246,9.36267334611003,1.65143435925459,117.379196930004,23.1921177387822,0.17961770457228,0.00373415766569127,0.166274927880733,0.00482877037694957,1.0816739611993,0.0533856458143203,-0.0003726,0.00064849,0.0014243,5.2558e-08,0.00022926,0.80643,3.2507,0.16602,0.1123,0.13316,0.3601,-7.4981e-07,0.00029232,3.0267e-06,0.014647,1.7404,2.78,0.0014242,2.0704e-05,-6.442e-05,8.7036e-05,-0.0002587,9.5813e-10,3.0954e-05,0.52793,3.5407,0.16602,0.10742,0.15979,0.42726,-1.3372e-07,5.0039e-05,-3.7818e-06,0.01731,1.3511,3.2882,0.00025873,7.4466e-07,trial2
80.1283415492252,2.91648700429428,80.7537012113055,0.0124968013468013,0.244889179739676,0.0270575706416595,0.373110368121269,0.0144719021427339,0.656891574593009,0.0735632655441531,0.621777062897986,0.00628849627363532,-2.25689031684287e-06,0.0150770543196635,0.0073797102565295,1.21833333333333,0.220240914922865,96,25.5499195493501,25.483099994982,-0.0668195543680881,25.5134756935979,0.0450573489093247,-0.000890927391574507,-0.00190068822648315,-0.00575884430967544,0.000434585643901426,0.00619342995357687,-0.00089092739157451,0.00511336052511647,8.25790660476915e-05,6.47278724921709e-06,17.0189152001911,2.42348538315391,2.01470588235294,0.483194029959228,1.53176470588235,0.172526639034303,1.32032410556055,0.299730400234981,7.75856957720521,1.25169903796594,132.045575452458,17.0523965171372,0.167180576916739,0.00201709953359932,0.207175591696038,0.0105855473987,0.808661426318026,0.0367877898952856,-0.00083757,0.00087746,0.0012468,2.8657e-07,0.00053533,0.32048,1.6688,0.097656,0.03418,0.079893,0.07392,-9.5014e-07,0.0015324,-7.729e-06,0.0039947,1.0476,3.514,0.0012466,1.6656e-05,-0.00014847,0.00010616,-0.00038039,7.4001e-09,8.6024e-05,-0.27031,1.5106,0.1123,0.03418,0.18642,0.084999,-2.3734e-07,0.00023306,-7.298e-07,0.0039947,0.71499,3.2544,0.00038034,1.4814e-06,trial3
80.5105273287637,3.44728882642876,80.6451612903226,0.0124443298969072,0.228164004544116,0.0350362380578363,0.446737376468748,0.0231735929008426,0.512590287946521,0.0860207523992927,0.591474096733459,0.0042743455738288,-5.03449260946861e-07,0.00937376982340698,0.00378104411059283,1.22181818181818,0.159675807924568,88,25.4836314493713,25.4003350430007,-0.0832964063705752,25.4403737818642,0.0234490338166702,-0.00111061875160767,-0.000602671347787494,-0.000809431270473438,-0.0033553466494934,-0.00254591537901996,-0.00111061875160767,0.00579091417971846,-3.39455383869329e-05,3.43356966731384e-06,16.2817664244709,2.62684360525878,1.97368421052632,0.416509444021456,1.76684210526315,0.309085616178856,1.13898235166533,0.250057707699205,8.68402285282467,1.27967830256716,141.257288697392,23.0865543594383,0.189122224237491,0.00745092746529473,0.213118773994851,0.00842289026589168,0.890050254226491,0.0710030643935598,-0.0011909,0.001372,0.0011851,5.6929e-07,0.00075451,0.3559,1.9483,0.10254,0.03418,0.026631,0.066203,-6.6653e-07,0.0022333,-1.0008e-05,0.0026631,1.1521,3.3003,0.001185,1.4931e-05,-0.00033559,0.00025092,-0.00034224,4.0206e-08,0.00020051,0.023039,1.514,0.073242,0.03418,0.026631,0.034459,-1.982e-07,0.00057871,-1.2862e-06,0.0013316,0.74771,3.2252,0.00034213,1.2119e-06,trial4
82.4778128672294,3.73593705250808,82.7586206896552,0.0182272277227723,0.24024717986969,0.0252705719564314,0.372097874160939,0.0246570624576092,0.651031025080925,0.0977697371461118,0.566884407807948,0.00308452118138263,-2.3886908368343e-07,0.0114329075105888,0.00625698370396991,1.18076923076923,0.336933760514376,104,25.4058437259763,25.3333822966287,-0.0724614293475483,25.3305140518919,0.0480895560138717,-0.000966152391300644,-0.0017026850756663,-0.000100682242989585,0.00122152832207736,0.00132221056506694,-0.000966152391300657,0.00526642002287839,1.76294742008926e-05,8.34122255721663e-05,17.7247828032693,3.18002653803611,1.986,0.864141801229141,1.51600000000001,0.15889089272036,1.3006974302678,0.464921158527837,7.60849525840747,0.84587697129012,135.821909669704,27.500946457626,0.234737855028003,0.013597597760181,0.173275638857862,0.00920388649933132,1.36220160842552,0.149496363902749,-0.0028893,0.0035872,0.0012216,3.9281e-06,0.0019819,-0.097551,1.5971,0.073242,0.03418,0.053262,0.059533,-2.2954e-06,0.0050907,-2.2087e-06,0.0026631,1.2415,3.4168,0.001228,1.5921e-05,-0.00052228,0.00053126,-0.00024811,1.2259e-07,0.00035013,-0.11405,1.5577,0.068359,0.03418,0.15979,0.058112,-6.2642e-07,0.00099702,-7.7114e-07,0.0053262,1.0172,3.5167,0.00024778,7.1926e-07,trial5
